trial_id,title,intervention_name,condition,phase,status,source_database
NCT05699915,Extensive CArdioVAscular Characterization and Follow-up of Patients Receiving Immune Checkpoint Inhibitors,Cardiology consultation; Chest Computed Tomography (CT) without contrast; Non-invasive endothelial function tests; Electrocardiogram; Extra serum sample (7.5 mL),"Cancer; Immune-related Adverse Event; Cardiac Abnormalities, Variable; Immune Checkpoint Inhibitor-Related Myocarditis; Diastolic Dysfunction; Atherosclerosis; Cardiotoxicity",NA,TERMINATED,ClinicalTrials.gov
NCT05142215,A Placebo-controlled Trial of Chronic Total Occlusion Percutaneous Coronary Intervention for the Relief of Stable Angina,Percutaneous coronary intervention; Placebo percutaneous coronary intervention,Stable Angina; Chronic Total Occlusion of Coronary Artery,NA,COMPLETED,ClinicalTrials.gov
NCT04704635,Trajectories of Post-stroke Multidimensional Health,Not specified,"Stroke, Ischemic; Transient Ischemic Attack; Adaptation, Psychological; Mental Health Impairment; Adjustment; Self-Rated Health; Aging; Sense of Coherence",Not specified,COMPLETED,ClinicalTrials.gov
NCT02958176,Heart Rate Variability Biofeedback for Female Sexual Arousal Disorder,HRV Biofeedback; Autogenic Training,Female Sexual Arousal Disorder,NA,COMPLETED,ClinicalTrials.gov
NCT02657876,ExpressGraft-C9T1 Skin Tissue as a Treatment of Diabetic Foot Ulcers,ExpressGraft-C9T1 Skin Tissue,Diabetes; Diabetic Foot Ulcer; Non-healing Wound,PHASE1,COMPLETED,ClinicalTrials.gov
NCT07314476,CardioLogical Interventions and Acute strOke Treatment sTudy,Not specified,Acute Ischemic Stroke AIS; Stroke Treatment; PCI Patients; Aortic Valve Replacement; Transcatheter Aortic Valve Replacement (TAVR); Mitral Valve Repair; Mitral Valve Replacement; Left Atrial Appendage Closure; Transcatheter Pulmonary Valve Replacement (TPVR),Not specified,NOT_YET_RECRUITING,ClinicalTrials.gov
NCT06659276,Comparison Between Whole Body DWI and FDG PET/CT in Patients with Simptomatic Multiple Myeloma,Not specified,Multiple Myeloma,Not specified,RECRUITING,ClinicalTrials.gov
NCT03076476,Coronary Microcirculatory and Bioresorbable Vascular Scaffolds,Bioresorbable Vascular Scaffolds (BVS); Drug-Eluting Stent (DES) - slow; Drug-Eluting Stent (DES) - standard(std),"CHD - Coronary Heart Disease; Angina, Stable; Myocardial Ischemia",NA,COMPLETED,ClinicalTrials.gov
NCT00043940,"Anticoagulant Therapy With Bivalirudin in the Performance of Percutaneous Coronary Intervention in Patients With Heparin-Induced Thrombocytopenia (AT BAT, First Inning)",bivalirudin,Heparin-Induced Thrombocytopenia; Thrombosis,PHASE3,COMPLETED,ClinicalTrials.gov
NCT05939089,Cardiovascular Assessment of Pediatric Cancer Survivors,"ECG, Echocardiography, cTnI, NT-ProBNP",Left Ventricular Dysfunction; Heart Failure,Not specified,COMPLETED,ClinicalTrials.gov
